2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 13ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 1ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 1ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 5ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 4ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 1ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 6ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 4ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 10ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 9ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 3ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 13ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 5ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 1ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 1ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 4ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 4ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 5ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-10 16:56:42 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
