2024-11-19 13:07:42 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.1, Location: unknown, Event: Request, Request Data Size: 40 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: POST, Error Message: N/A
2024-11-19 13:07:43 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 40 bytes, Response Data Size: 8192 bytes, Status: 200, Response Time: 102ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: POST, Error Message: N/A
2024-11-19 13:07:43 - IP: 0:0:0:0:0:0:0:1, User: 48, Endpoint: /current-user, Protocol: HTTP/1.1, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: GET, Error Message: N/A
2024-11-19 13:07:43 - IP: 0:0:0:0:0:0:0:1, User: 48, Endpoint: /current-user, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 200, Response Time: 9ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: GET, Error Message: N/A
2024-11-19 13:07:48 - IP: 0:0:0:0:0:0:0:1, User: 48, Endpoint: /start-monitoring, Protocol: HTTP/1.1, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: GET, Error Message: N/A
2024-11-19 13:07:49 - IP: 0:0:0:0:0:0:0:1, User: 48, Endpoint: /start-monitoring, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 200, Response Time: 285ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: GET, Error Message: N/A
2024-11-19 13:08:29 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.1, Location: unknown, Event: Request, Request Data Size: 40 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: POST, Error Message: N/A
2024-11-19 13:08:29 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 40 bytes, Response Data Size: 8192 bytes, Status: 200, Response Time: 109ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: POST, Error Message: N/A
2024-11-19 13:08:29 - IP: 0:0:0:0:0:0:0:1, User: 48, Endpoint: /current-user, Protocol: HTTP/1.1, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: GET, Error Message: N/A
2024-11-19 13:08:29 - IP: 0:0:0:0:0:0:0:1, User: 48, Endpoint: /current-user, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 200, Response Time: 8ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: GET, Error Message: N/A
2024-11-19 13:08:45 - IP: 0:0:0:0:0:0:0:1, User: 48, Endpoint: /start-monitoring, Protocol: HTTP/1.1, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: GET, Error Message: N/A
2024-11-19 13:08:45 - IP: 0:0:0:0:0:0:0:1, User: 48, Endpoint: /start-monitoring, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 200, Response Time: 302ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: GET, Error Message: N/A
2024-11-19 13:09:02 - IP: 127.0.0.1, User: 23, Endpoint: /history/getById, Protocol: HTTP/1.1, Location: unknown, Event: Suspicious Input Detected, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: curl/7.81.0, Request Method: GET, Error Message: Detected in parameter: id = <script>alert('XSS Attack')</script>
2024-11-19 13:09:02 - IP: 127.0.0.1, User: 23, Endpoint: /history/getById, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 200, Response Time: 27ms, User Agent: User-Agent: curl/7.81.0, Request Method: GET, Error Message: N/A
2024-11-19 13:09:09 - IP: 127.0.0.1, User: 2, Endpoint: /history/getById, Protocol: HTTP/1.1, Location: unknown, Event: Suspicious Input Detected, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: curl/7.81.0, Request Method: GET, Error Message: Detected in parameter: id = 1; DROP TABLE workers; --
2024-11-19 13:09:09 - IP: 127.0.0.1, User: 2, Endpoint: /history/getById, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 200, Response Time: 9ms, User Agent: User-Agent: curl/7.81.0, Request Method: GET, Error Message: N/A
2024-11-19 13:09:11 - IP: 0:0:0:0:0:0:0:1, User: 48, Endpoint: /start-monitoring, Protocol: HTTP/1.1, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: GET, Error Message: N/A
2024-11-19 13:09:11 - IP: 0:0:0:0:0:0:0:1, User: 48, Endpoint: /start-monitoring, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 200, Response Time: 316ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: GET, Error Message: N/A
2024-11-19 13:09:23 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-19 13:09:23 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 1ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
2024-11-19 13:09:23 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-19 13:09:23 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-19 13:09:23 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-19 13:09:23 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-19 13:09:23 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-19 13:09:23 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-19 13:09:23 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-19 13:09:23 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 3617 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: N/A
2024-11-19 13:09:23 - IP: 127.0.0.1, User: null, Endpoint: /diaries/getAll, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 3617 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: POST, Error Message: Failed login attempt
