2024-11-24 12:05:43 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.1, Location: unknown, Event: Response Error, Request Data Size: 40 bytes, Response Data Size: 0 bytes, Status: 500, Response Time: 0ms, User Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: POST, Error Message: JWT token has expired
2024-11-24 12:05:43 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.1, Location: unknown, Event: Request, Request Data Size: 40 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: POST, Error Message: N/A
2024-11-24 12:05:44 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 40 bytes, Response Data Size: 8192 bytes, Status: 200, Response Time: 387ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: POST, Error Message: N/A
2024-11-24 12:05:44 - IP: 0:0:0:0:0:0:0:1, User: 48, Endpoint: /current-user, Protocol: HTTP/1.1, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: GET, Error Message: N/A
2024-11-24 12:05:44 - IP: 0:0:0:0:0:0:0:1, User: 48, Endpoint: /current-user, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 200, Response Time: 80ms, User Agent: User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 6ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: Failed login attempt
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: Failed login attempt
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 2ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: Failed login attempt
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 3ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: Failed login attempt
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 4ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: Failed login attempt
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 6ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: Failed login attempt
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 3ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: Failed login attempt
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 3ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: Failed login attempt
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 3ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: Failed login attempt
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 9ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: Failed login attempt
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 10ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: Failed login attempt
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 401, Response Time: 8ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: Failed login attempt
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
2024-11-24 13:31:16 - IP: 127.0.0.1, User: null, Endpoint: /, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: ApacheBench/2.3, Request Method: GET, Error Message: N/A
